播出日期,播出时间,影片名称,影厅名称,影片类型
2018-11-06,10:40:00,飓风奇劫,7号厅,动作 / 灾难 / 犯罪
2018-11-06,12:40:00,飓风奇劫,7号厅,动作 / 灾难 / 犯罪
2018-11-06,14:40:00,飓风奇劫,7号厅,动作 / 灾难 / 犯罪
2018-11-06,16:40:00,飓风奇劫,7号厅,动作 / 灾难 / 犯罪
2018-11-06,18:40:00,飓风奇劫,7号厅,动作 / 灾难 / 犯罪
2018-11-06,19:40:00,飓风奇劫,3号厅,动作 / 灾难 / 犯罪
2018-11-06,20:40:00,飓风奇劫,7号厅,动作 / 灾难 / 犯罪
2018-11-06,21:40:00,飓风奇劫,3号厅,动作 / 灾难 / 犯罪
2018-11-06,22:40:00,飓风奇劫,7号厅,动作 / 灾难 / 犯罪
2018-11-07,10:40:00,飓风奇劫,7号厅,动作 / 灾难 / 犯罪
2018-11-07,11:40:00,飓风奇劫,2号厅,动作 / 灾难 / 犯罪
2018-11-07,12:40:00,飓风奇劫,7号厅,动作 / 灾难 / 犯罪
2018-11-07,14:40:00,飓风奇劫,7号厅,动作 / 灾难 / 犯罪
2018-11-07,15:40:00,飓风奇劫,2号厅,动作 / 灾难 / 犯罪
2018-11-07,16:40:00,飓风奇劫,7号厅,动作 / 灾难 / 犯罪
2018-11-07,18:40:00,飓风奇劫,7号厅,动作 / 灾难 / 犯罪
2018-11-07,19:40:00,飓风奇劫,2号厅,动作 / 灾难 / 犯罪
2018-11-07,20:40:00,飓风奇劫,7号厅,动作 / 灾难 / 犯罪
2018-11-07,22:40:00,飓风奇劫,7号厅,动作 / 灾难 / 犯罪
2018-11-06,10:30:00,胡桃夹子和四个王国,5号厅,冒险 / 家庭 / 奇幻
2018-11-06,12:30:00,胡桃夹子和四个王国,5号厅,冒险 / 家庭 / 奇幻
2018-11-06,14:30:00,胡桃夹子和四个王国,5号厅,冒险 / 家庭 / 奇幻
2018-11-06,15:30:00,胡桃夹子和四个王国,2号厅,冒险 / 家庭 / 奇幻
2018-11-06,16:30:00,胡桃夹子和四个王国,5号厅,冒险 / 家庭 / 奇幻
2018-11-06,17:30:00,胡桃夹子和四个王国,2号厅,冒险 / 家庭 / 奇幻
